[INIT] 建立 type_2 log 檔案
type_2:
Game : 福星聚宝               | Account : qa0006  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 大富豪                 | Account : qa0007  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 皇家战争               | Account : qa0008  | Expect : >=12   | Actual : 12     | ✅ Passed
Game : 加勒比夺宝             | Account : qa0009  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 88财神                 | Account : qa0010  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 天神宙斯               | Account : qa0011  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 怪物猎人S              | Account : qa0012  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 糖果岛                 | Account : qa0013  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 西部警长               | Account : qa0014  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 宠物当家               | Account : qa0015  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 麻将来了3+             | Account : qa0016  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 超级牛B豪华版          | Account : qa0017  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : Monopoly Slot 超级炸弹 | Account : qa0018  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 金库小猪               | Account : qa0019  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 秘境宝石               | Account : qa0020  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 幸运大鲈鱼             | Account : qa0021  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 变脸豪华版             | Account : qa0022  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 雷神托尔               | Account : qa0023  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 奥丁之戒               | Account : qa0024  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 心动妖精               | Account : qa0025  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 发财龙                 | Account : qa0026  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 闪电鱼                 | Account : qa0027  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 宝石星球               | Account : qa0028  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 招财进宝               | Account : qa0029  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 777                    | Account : qa0030  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 泰国拳王               | Account : qa0031  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 金刚                   | Account : qa0032  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 死者之书               | Account : qa0033  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 野火游侠               | Account : qa0034  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 地产大亨               | Account : qa0035  | Expect : >=10   | Actual : 10     | ✅ Passed
